Title,Company,Location,Contract,Salary,Description
Data Analyst (H/F),Mydral,75002 Paris 2e,"CDI
+1",Negotiable,"On les accompagne sur toutes leurs problématiques métiers avec une expertise sur la compréhension et l'automatisation des processus métiers, la data gouvernance…"
CDI - Data Analyst - (H/F),Pôle Emploi,01000 Bourg-en-Bresse,"CDI
+1",De 3 000 € à 3 500 € par mois,Français non requis
Ingénieur Data Scientist – IA H/F,Assystem,Marseille (13),"CDI
+1",Negotiable,Vous serez accompagné par un data scientist confirmé.
Data Analyst,Abeille assurances,Bois-Colombes (92),"CDI
+1",Negotiable,"Au sein du Département Reporting & Analyses de la Data Factory (Direction Transformation & IT), vous participez à la création d’indicateurs et au développement…"
(d/f/m) HR Data Scientist - People Analytics,Airbus,31707 Blagnac,"CDI
+1",Negotiable,"En coordination avec l'IT et les autres data scientists, vous soutiendrez la stabilisation des processus et des outils du département."
Data Analyst H/F,Group onePoint,Paris (75),"CDI
+1",Negotiable,Contribuer à la conception d’architectures data platform.
Lead Data Scientist M/F,Pernod Ricard,Paris (75),Temps plein,Negotiable,You will build relevant data science products for our markets.
Analyste quantitatif / Data scientist F/H,Bpifrance,Maisons-Alfort (94),Temps plein,Negotiable,"Avec 25 Md€ injectés directement dans les entreprises, 1 829 M€ de résultat net annuel et une augmentation de 4,7 Md€ des capitaux propres, les résultats…"
Data Scientist / Engineer Skywise (H/F),Airbus,31707 Blagnac,Temps plein,Negotiable,Vous possédez a minima 3 ans d’expérience en data science et/ou data engineering.
Innovation / R&D / Data Sciences_Modèle d'offre d'emploi,SUEZ,Courbevoie (92),Temps plein,Negotiable,"Le pilotage du programme « SPOT 2023 » , préparation des revues trimestrielles de performance, production des reporting, analyse des données."
Data Analyst Confirmé F/H,RATP Dev,Paris (75),Temps plein,Negotiable,Développement d'algorithme et de modèle data.
Data Scientist H/F,Inetum,"Grenoble (38)
+ 1 lieu",Temps plein,Negotiable,"En partenariat avec un client majeur du secteur de l’Energie à Grenoble, nous renforçons notre équipe de spécialistes Data à Grenoble."
Data Analyst et Scientist Junior,OLOME,59000 Lille,Temps plein,Negotiable,Olome c’est la plateforme de traçabilité pour l’industrie et la construction.
Data Analyst,Sopra Steria,Toulouse (31),Temps plein,Negotiable,Vos missions sont principalement tournées autours de la transformation de ces métiers et de leur digitalisation à des fins de performance opérationnelle.
Data Scientist Junior,Xtramile,"57000 Metz
+ 1 lieu",Temps plein,39 000 € par an,Intégré au sein d’une équipe dédiée à la Data Intelligence tes missions seront variées.
DATA ANALYSTE TRANSVERSAL H/F,Caisse des Dépôts,Paris (75),Temps plein,Negotiable,"Pédagogue, vous rendez la donnée claire et intelligible aux différentes parties prenantes, y compris à des non-spécialistes de la data."
Senior Data Scientist - H/F,FREE SAS,"Paris 8e (75)
+ 1 lieu",Temps plein,80 000 € par an,"Vous serez une référence technique sur vos sujets, capable de les animer au sein de l’équipe et plus largement de la communauté data du groupe."
Data Scientist H/F,Inetum Capital Market,Paris (75),Temps plein,Negotiable,"Pour accompagner notre forte croissance, nous recherchons des Data Scientists."
DATA ANALYST,Carrefour France,Télétravail hybride à 14120 Mondeville,Temps plein,Negotiable,"Traitement, exploitation et intégration des données dans un data warehouse (entrepôt de données) ;"
Data Scientist,datafab.io,94160 Saint-Mandé,Temps plein,Negotiable,Et tu souhaites relever de nouveaux défis.
data scientist (lyon 69),Ausy,Lyon (69),Temps plein,Negotiable,"Bi, big data, ai and ml."
Data Analyst-(H/F),Société Générale,"Télétravail hybride à La Défense (92)
+ 1 lieu",CDI,Negotiable,Collaborer avec les experts métier en identifiant leurs problématiques opérationnelles afin d’y répondre avec des analyses et éléments chiffrés (campagnes…
Data Analyst (H/F) (IT),CITECH,"Charenton-le-Pont (94)
+ 1 lieu",CDI,De 50 000 € à 65 000 € par an,"Un accompagnement personnalisé avec un suivi régulier (autour d’un café ou un thé, c’est vous qui choisissez )."
Data Analyst RCP RETAIL H/F,LCL,94811 Villejuif,CDI,Negotiable,Data Analyst RCP RETAIL H/F.
Data Scientist Jeune Docteur (F/H),DialOnce,75001 Paris 1er,CDI,Negotiable,"Veille scientifique et technique en NLP, NLU, data science, systèmes de dialogue."
DATA MINER ET BUSINESS INTELLIGENCE ANALYST (H/F),CREDIT MUTUEL LEASING,92400 Courbevoie,CDI,De 40 000 € à 70 000 € par an,Maitrise des outils de BI et des concepts de data-visualisation.
SENIOR DATA SCIENTIST (F/H),Leroy Merlin,"Télétravail hybride à Lezennes (59)
+ 1 lieu",CDI,Negotiable,L'accompagnement de nos métiers sur les bonnes pratiques de l'exploitation de la data.
Ingénieur Data Scientist H/F,AKKA TECHNOLOGIES,Paris (75),CDI,Negotiable,La data science avec les outils Python et R.
Data Analyst - H/F,Unilever,Rueil-Malmaison (92),CDI,Negotiable,Power BI avec maitrise de DAX (ou un autre outil de data viz).
Data/Analyst Data Translator F/H,Carrefour France,91300 Massy,CDI,Negotiable,"Au cœur de la transformation analytique, vous êtes le pivot entre les équipes métiers et les équipes de data scientists, data engineers, data governance et data…"
DATA ANALYST F/H,Caisse des Dépôts,Paris (75),CDI,Negotiable,"Garantir le niveau de la qualité des données, issues des travaux de la maitrise d’ouvrage (MOA) ALM et d'autres interlocuteurs, et utilisées dans le cadre des…"
DATA ANALYST - H/F,Dalkia,Courbevoie (92),CDI,Negotiable,"Vous participez à la mise en cohérence des données, en lien avec les domaines du SI et plus généralement vos actions participent à la démarche de data…"
Data Scientist / Data Analyst,Siderlog,Paris (75),CDI,Negotiable,"Collecter les besoins et assister à la rédaction de cahiers des charges auprès des directions fonctionnelles (outils, modèles, choix d’indicateurs, …)."
Data scientist h/f,BYmyCAR,Vénissieux (69),CDI,De 45 000 € à 55 000 € par an,"Dans le cadre de la création de nouveaux services digitaux dans le domaine de l'automobile, I&T Automotive recherche un profil de Data Analyst developer."
Data Scientist Déro F/H,Safran,Magny-les-Hameaux (78),CDI,Negotiable,"Cette situation, associée aux besoins de renouvellement régulier des flottes en opération, génère des cadences de productions importantes de nouveaux aéronefs…"
DATA ANALYST (F/H),Carrefour,"Télétravail hybride à 14120 Mondeville
+ 1 lieu",CDI,Negotiable,"Traitement, exploitation et intégration des données dans un data warehouse (entrepôt de données) ;"
Data Analyst IT (H/F),Volvo Group,Lyon (69),None,Negotiable,You are experienced working on data manipulation and data modeling.
